,stationid,compname,time,MetaInfo_Owner,MetaInfo_Name,MetaInfo_Location,meantype,subzahl,value,valueclass,unit,gml$Point_srsName,gml$Point_gml$coord_X,gml$Point_gml$coord_Z,gml$Point_gml$coord_Y
101,03:0201,Ozon,1659907800,Amt der Niederösterreichischen Landesregierung,"Bad Vöslau, Gainfarn","Kottingbrunner Straße, Gymnasium Gainfarn, Sportplatz",HMW,1,44.0,NOCLASS,µg/m³,EPSG:31287,16.20573,265.0,47.9592
102,05:2100,Ozon,1659911400,Amt der Salzburger Landesregierung,Hallein Winterstall,Winterstallstraße,HMW,1,44.0,NOCLASS,µg/m³,EPSG:31287,13.106,650.0,47.667
103,07:2710,Ozon,1659911400,Amt der Tiroler Landesregierung,Heiterwang Ort L355,Ennet der Ach,HMW,1,44.0,NOCLASS,µg/m³,EPSG:31287,10.7441167,985.0,47.4475972
104,09:LOB,Ozon,1659909600,Gemeinde Wien - MA22 Umweltschutz,Lobau,Lobau Grundwasserwerk,HMW,1,44.0,NOCLASS,µg/m³,EPSG:31287,16.5256138888889,155.0,48.1620694444444
105,01:0007,Ozon,1659911400,Amt der Burgenländischen Landesregierung,Pöttelsdorf,Berggasse,HMW,1,45.0,NOCLASS,µg/m³,EPSG:31287,16.434389,214.0,47.749044
106,07:2912,Ozon,1659911400,Amt der Tiroler Landesregierung,"Lienz Tristacher-See-Straße, Tiefbrunnen ","Tristacher-See-Straße, Tiefbrunnen",HMW,1,45.0,NOCLASS,µg/m³,EPSG:31287,12.766025,681.0,46.8191111
107,04:S184,Ozon,1659911400,Amt der Oberösterreichischen Landesregierung,"Linz Stadtpark, Noßbergerstraße","Noßbergerstraße, hinter Museumstraße 34a",HMW,1,46.0,NOCLASS,µg/m³,EPSG:31287,14.297502777777778,260.0,48.30611944444444
108,01:0001,Ozon,1659911400,Amt der Burgenländischen Landesregierung,Eisenstadt Laschoberstraße,"Laschoberstraße, östlich Kreisverkehr Ruster Straße",HMW,1,47.0,NOCLASS,µg/m³,EPSG:31287,16.52617,165.0,47.8401138
109,06:179,Ozon,1659911400,Amt der Steiermärkischen Landesregierung,Hartberg Zentrum,"F. Schmidt G., Sparkassenplatz, Parkplatz hinter Bahnhofstr.",HMW,1,47.0,NOCLASS,µg/m³,EPSG:31287,15.971852,349.0,47.28286
110,05:1066,Ozon,1659911400,Amt der Salzburger Landesregierung,Salzburg Mirabellplatz,Mirabellplatz,HMW,1,48.0,NOCLASS,µg/m³,EPSG:31287,13.043333,430.0,47.8055556
111,07:2620,Ozon,1659911400,Amt der Tiroler Landesregierung,St. Anton am Arlberg - Galzig,"Galzig, A1-Gebäude",HMW,1,48.0,NOCLASS,µg/m³,EPSG:31287,10.224811,2147.0,47.133681
112,02:WO35,Ozon,1659911400,Amt der Kärntner Landesregierung,St. Georgen im Lavanttal - Herzogberg,Herzogberg,HMW,1,51.0,NOCLASS,µg/m³,EPSG:31287,14.891667,540.0,46.708333
113,03:1903,Ozon,1659907800,Amt der Niederösterreichischen Landesregierung,Trasdorf im Tullnerfeld,Kaindorfer Straße,HMW,1,51.0,NOCLASS,µg/m³,EPSG:31287,15.8578,192.0,48.331
