stationid,component,time,unit,meantype,value,meta_name,meta_owner,meta_location,x_coord,y_coord,z_coord
03:0601,Ozon,1661265000,µg/m³,HMW,57.0,Klosterneuburg Meynertgasse,Amt der Niederösterreichischen Landesregierung,"Meynertgasse, südwestlich vom Wasserhochbehälter",16.31395,48.30246,260.0
04:S108,Ozon,1661265000,µg/m³,HMW,57.0,Grünbach bei Freistadt,Amt der Oberösterreichischen Landesregierung,Oberrauchenödt Kirche St. Michael,14.574722222222,48.53111111,918.0
09:LOB,Ozon,1661265000,µg/m³,HMW,58.0,Lobau,Gemeinde Wien - MA22 Umweltschutz,Lobau Grundwasserwerk,16.5256138888889,48.1620694444444,155.0
09:STEF,Ozon,1661265000,µg/m³,HMW,58.0,Stephansplatz,Gemeinde Wien - MA22 Umweltschutz,"Stephansdom, Kerzenkammer östlich des Südturmes, 1. Stock",16.3732536111111,48.20815,172.0
09:ZA,Ozon,1661265000,µg/m³,HMW,58.0,Hohe Warte,Gemeinde Wien - MA22 Umweltschutz,"Hohe Warte 38, Zentralanstalt für Meteorologie u. Geodynamik",16.357079,48.248993,210.0
01:0003,Ozon,1661265000,µg/m³,HMW,59.0,Kittsee,Amt der Burgenländischen Landesregierung,Neurisse - Brunnenfeld ,17.0703159,48.1091532,136.0
03:2301,Ozon,1661265000,µg/m³,HMW,60.0,St. Pölten Eybnerstraße,Amt der Niederösterreichischen Landesregierung,"Eybnerstraße, hinter D. Gran-Str. 16, Sportpl. Sonderschule",15.6325,48.2116,270.0
01:0002,Ozon,1661265000,µg/m³,HMW,62.0,Oberschützen,Amt der Burgenländischen Landesregierung,"Schützenstraße 85, Wirtschaftshof der Gemeinde ",16.207863,47.339926,344.0
03:2701,Ozon,1661265000,µg/m³,HMW,64.0,"Schwechat Sportplatz, Mühlgasse",Amt der Niederösterreichischen Landesregierung,"Phönix-Sportplatz, Mühlgasse/Radetzkystraße",16.474444444444444,48.145,155.0
09:LIES,Ozon,1661265000,µg/m³,HMW,64.0,Liesing - Carlberger-Gasse Gewerbegebiet,Gemeinde Wien - MA22 Umweltschutz,"Carlberger-Gasse 69 (Gst. Nr. 273/11, KG Erlaa)",16.30127778,48.14125,211.0
